Batter,All Rounders,Bowlers
Sanju Samson(92),Nitish Rana(100),Jofra Archer(102)
Shubham Dubey(93),Yudhvir Charak(101),M Theekshana(103)
Vaibhav Suryawanshi(94),,W Hasaranga(104)
Kunal Rathore(95),,Akash Madwal(105)
Shimron Hetmyer(96),,K K Singh(106)
Yashasvi Jaiswal(97),,Tushar Deshpande(107)
Dhruv Jurel(98),,Fazalhaq Farooqi(108)
Riyan Parag(99),,Kwena Maphka(109)
,,Ashok Sharma(110)
,,Sandeep Sharma(111)
