Batter,All Rounders,Bowlers
Ajinkya Rahane(48),Venketesh Iyer(56),Anrich Nortje(61)
Rinku Singh(49),Anukul Roy(57),Vaibhav Arora(62)
Quinton De Cock(50),Mooen Ali(58),Mayank Markande(63)
R Gurbaz(51),Ramandeep Singh(59),Spencer Johnson(64)
A Raghuwanshi(52),Andre Russell(60),Harshit Rana(65)
Rovman Powell(53),,Sunil Naraine(66)
Manish Pandey(54),,Varun Chakrawarthy(67)
Luvnith Sisodia(55),,Chetan Sakariya(68)
