Batter,All Rounders,Bowlers
Rohit Sharma(69),Hardik Pandya(76),Trent Boult(83)
Suryakumar Yadav(70),Naman Dhir(77),Karn Sharma(84)
Robin Minz(71),Will Jacks(78),Deepak Chahar(85)
Riyan Rickhelton(72),Mitchell Santner(79),Ashwani Kumar(86)
S Krishnan(73),R A Bawa(80),Reece Topley(87)
Bevon Jacobs(74),Vignesh Puthur(81),V S Penmetsa(88)
Tilak Verma(75),Corbin Bosch(82),Arjun Tendulkar(89)
,,Mujeeb Ur Rahman(90)
,,Jasprit Bumrah(91)
