Batter,All Rounders,Bowlers
Rajat Patidar(1),Liam Livingstone(7),Josh Hazelwood(14)
Virat Kohli(2),Krunal Pandya(8),Rasikh Dar(15)
Phil Salt(3),Swapnil Singh(9),Suyash Sharma(16)
Jitesh Sharma(4),Tim David(10),Bhuvneshwar Kumar(17)
Devdut Padikkal(5),Romario Shepherd(11),Nuwam Thunshara(18)
Swastik Chikkara(6),Manoj Bhangade(12),Lungisani Ngidi(19)
,Jacob Sethel(13),Abhinandan Singh(20)
,,Mohit Rathee(21)
,,Yash Dayal(22)
