Batter,All Rounders,Bowlers
Ishan Kishan(134),Harshal Patel(141),Pat Cummins(146)
Athrava Taide(135),Kamindu Mendis(142),M Shami(147)
Abhinav Manohar(136),Wiann Mulder(143),Rahul Chahar(148)
Aniket Verma(137),Abhishek Sharma(144),Adam Zampa(149)
Sachin Baby(138),N K Reddy(145),Simarjeet Singh(150)
Heinrich Klassen(139),,Zeeshan Ansari(151)
Travis Head(140),,Jaydev Unadkat(152)
,,Eshan Malinga(153)
