Batter,All Rounders,Bowlers
K L Rahul(112),Axar Patel(119),Mitchell Starc(128)
J F Macgruk(113),Sameer Rizvi(120),T Natrajan(129)
Karun Nair(114),Ashutosh Sharma(121),Mohit Sharma(130)
Faf du Plessis(115),D Nalkande(122),Mukesh Kumar(131)
D Ferriara(116),Vipraj Nigam(123),D Chameera(132)
Abhishek Porel(117),Ajay Mandal(124),Kuldeep Yadav(133)
Tristan Stubbs(118),M Kumar(125),
,Tripuran Vijay(126),
,Madhav Tiwari(127),
